date,category,name,amount,remark,buildingName,roomNo,sourceSheet
2024-12-07,维修采购,冰箱,1275.8,安装空房间2台,,,12月耗材
2024-12-07,其他,桌子,173.85,安装空房间3张,,,12月耗材
2024-12-07,其他,凳子,161.57,安装空房间3张,,,12月耗材
2024-12-07,其他,水龙头,100.0,安装空房间,,,12月耗材
2024-12-08,其他,浴室储物架,210.9,安装空房间15套,,,12月耗材
2024-12-08,维修采购,床垫,575.0,安装空房间5套,,,12月耗材
2024-12-09,其他,地漏,279.0,49个安装洗漱台用,,,12月耗材
2024-12-09,其他,水龙头,114.0,两个,,,12月耗材
2024-12-09,其他,花箱,919.4,4个花箱,,,12月耗材
2024-12-10,其他,铁管,240.0,做晾衣架,,,12月耗材
2024-12-10,维修采购,热水器,1940.0,安装空房间5台,,,12月耗材
2024-12-10,维修采购,洗衣机,978.0,安装空房间,,,12月耗材
2024-12-11,维修采购,洗衣机,3912.0,安装空房间4台,,,12月耗材
2024-12-11,其他,桌子,177.77,安装空房间3张,,,12月耗材
2024-12-11,其他,椅子,153.5,安装空房间3张,,,12月耗材
2024-12-11,维修采购,床垫,1840.0,床垫,,,12月耗材
2024-12-11,其他,大理石台面,5000.0,厨房大理石台面,,,12月耗材
2024-12-12,其他,门卫室订做,18500.0,门卫室订做还欠20000,,,12月耗材
2024-12-12,其他,洗漱台,1173.63,安装空房间10套,,,12月耗材
2024-12-13,人工,老杨工资,5000.0,工资,,,12月耗材
2024-12-14,维修采购,冰箱,1790.0,安装空房间5台,,,12月耗材
2024-12-14,其他,门禁门,4800.0,大门处,,,12月耗材
2024-12-15,其他,划线油漆 钻头,93.0,划线油漆 钻头,,,12月耗材
2024-12-16,其他,洗漱池,1105.59,安装空房间10套,,,12月耗材
2024-12-16,其他,运费,160.0,床垫物流,,,12月耗材
2024-12-16,其他,快递货架,500.0,快递货架2个,,,12月耗材
2024-12-17,维修采购,洗衣机,2934.0,3台,,,12月耗材
2024-12-17,其他,桌子,630.0,10张,,,12月耗材
2024-12-17,其他,椅子,95.0,4张,,,12月耗材
2024-12-17,维修采购,热水器,1940.0,5台,,,12月耗材
2024-12-20,其他,去污碱,38.89,10斤打扫卫生,,,12月耗材
2024-12-20,维修采购,家具费,20000.0,还欠8万,,,12月耗材
2024-12-20,维修采购,空调费,20000.0,空调费,,,12月耗材
2024-12-21,维修采购,洗衣机,978.0,1台,,,12月耗材
2024-12-22,其他,指示牌,1750.0,指示牌,,,12月耗材
2024-12-22,维修,换气扇,500.0,换气扇,,,12月耗材
2024-12-23,维修采购,洗衣机,1956.0,2台,,,12月耗材
2024-12-23,其他,窗户隔音条,58.0,窗户隔音条,,,12月耗材
2024-12-25,维修采购,冰箱,1790.0,5台,,,12月耗材
2024-12-25,维修采购,洗衣机,1956.0,2台,,,12月耗材
2024-12-25,其他,灯泡接线,20.0,快递接线灯泡,,,12月耗材
2024-12-25,其他,椅子,188.16,8把,,,12月耗材
2024-12-25,其他,桌子,630.0,10张,,,12月耗材
2024-12-26,维修采购,洗衣机,1956.0,2台,,,12月耗材
2025-01-01,人工,工资,2000.0,水电工工资,,,1月耗材1
2025-01-01,人工,工资,5000.0,保洁+门卫2人工资,,,1月耗材1
2025-01-01,垃圾费,垃圾费,1000.0,垃圾费,,,1月耗材1
2025-01-04,其他,卫生间置物架,210.0,15个,,,1月耗材
